交易号,账户,金额,渠道,时间,风险信号,风险等级,是否复核
TX7056859,ACC8333,44691.87,POS,2025-11-22,夜间,高,待复核
TX6275602,ACC3980,23433.23,网银,2025-11-27,正常,低,免复核
TX8391137,ACC3943,18616.66,网银,2025-11-01,正常,低,免复核
TX5542654,ACC5713,52320.14,移动,2025-10-22,夜间,高,待复核
TX1706003,ACC1185,33165.07,POS,2025-11-30,夜间,高,待复核
TX7499462,ACC5986,18619.41,代扣,2025-11-19,正常,低,免复核
TX6037568,ACC3321,38784.11,移动,2025-12-20,异地,高,待复核
TX3657738,ACC4878,45209.08,移动,2025-12-01,夜间,中,待复核
TX2158572,ACC4485,52656.73,代扣,2025-12-31,大额,中,待复核
TX5567619,ACC2913,8538.51,POS,2025-12-07,正常,低,免复核
TX1509843,ACC7766,58863.96,移动,2025-10-31,大额,高,待复核
TX1464350,ACC8034,62209.98,代扣,2025-10-18,高频,高,待复核
TX3404242,ACC4159,38494.04,移动,2025-11-17,夜间,中,待复核
TX2241406,ACC9632,56749.31,网银,2025-12-31,大额,高,待复核
TX8732258,ACC8478,2135.51,POS,2025-12-17,正常,低,免复核
TX7811692,ACC3267,52275.14,POS,2025-10-13,异地,高,待复核
TX4314477,ACC6008,49840.03,移动,2025-11-25,大额,中,待复核
TX7581198,ACC5634,79974.52,代扣,2025-12-12,高频,中,待复核
TX2853648,ACC1871,20646.65,代扣,2025-12-20,夜间,高,待复核
TX7657264,ACC2607,35170.37,网银,2025-12-07,夜间,中,待复核
TX7046125,ACC1242,55019.1,POS,2025-10-17,大额,高,待复核
TX3316377,ACC5780,31851.31,网银,2025-10-22,异地,高,待复核
TX7049200,ACC3643,71542.53,代扣,2025-11-13,异地,高,待复核
TX2768258,ACC8933,10416.06,代扣,2025-12-19,正常,低,免复核
TX5126960,ACC6100,47399.6,代扣,2025-12-03,夜间,高,待复核
TX6972490,ACC3930,44810.24,移动,2025-10-11,异地,中,待复核
TX7534637,ACC4786,72770.53,移动,2025-11-06,大额,高,待复核
TX4406783,ACC8296,79295.66,POS,2025-12-15,大额,中,待复核
TX7789776,ACC5474,25895.63,移动,2025-12-25,正常,低,免复核
TX3044508,ACC6798,37677.07,POS,2025-10-23,异地,中,待复核
TX1823687,ACC1731,63935.6,代扣,2025-10-31,高频,高,待复核
TX6985309,ACC6252,66922.82,网银,2025-12-10,夜间,高,待复核
TX7370983,ACC9360,57806.14,移动,2025-12-26,高频,中,待复核
TX4835038,ACC6810,1755.86,移动,2025-12-21,正常,低,免复核
TX3575890,ACC1492,41594.73,移动,2025-12-03,大额,中,待复核
TX8645651,ACC2078,43867.8,POS,2025-10-14,异地,中,待复核
TX3467250,ACC8308,18778.32,代扣,2025-10-09,正常,低,免复核
TX7476771,ACC2854,33991.51,代扣,2025-10-28,异地,中,待复核
TX5249576,ACC6615,57310.28,POS,2025-11-25,大额,中,待复核
TX2416425,ACC5499,41804.45,网银,2025-12-12,大额,中,待复核
TX2681126,ACC5189,18359.9,代扣,2025-11-04,正常,低,免复核
TX7138809,ACC2677,59395.63,网银,2025-11-28,高频,高,待复核
TX7240402,ACC5167,15910.49,代扣,2025-10-08,异地,中,待复核
TX7339090,ACC8586,11241.56,POS,2026-01-01,正常,低,免复核
TX4012190,ACC7809,44648.54,网银,2025-11-14,异地,高,待复核
TX3557400,ACC7583,53319.42,代扣,2025-10-28,异地,高,待复核
TX5549060,ACC4753,26890.55,移动,2025-12-08,正常,低,免复核
TX8278339,ACC6949,73463.86,POS,2025-10-31,异地,高,待复核
TX5695273,ACC6473,67317.34,POS,2025-12-03,夜间,高,待复核
TX5564396,ACC8286,34816.33,网银,2025-12-11,大额,中,待复核
TX7208641,ACC7981,68523.12,网银,2025-11-23,高频,中,待复核
TX3130924,ACC9659,62182.26,网银,2025-10-03,夜间,中,待复核
TX4298342,ACC3928,42875.55,POS,2025-12-07,大额,中,待复核
TX8350212,ACC7974,50247.97,移动,2025-11-11,高频,高,待复核
TX2713419,ACC3512,58679.04,移动,2025-10-26,大额,高,待复核
TX5358218,ACC2508,13438.11,代扣,2025-11-07,正常,低,免复核
TX3457381,ACC7463,18378.91,代扣,2025-10-26,正常,低,免复核
TX4194909,ACC8395,13819.66,代扣,2025-10-30,正常,低,免复核
TX7020217,ACC9683,58996.64,代扣,2025-11-07,大额,中,待复核
TX2114314,ACC3377,24822.12,网银,2025-10-23,正常,低,免复核
TX2119233,ACC9574,60314.76,移动,2025-11-03,异地,高,待复核
TX1114873,ACC8268,66525.56,POS,2025-10-03,异地,中,待复核
TX3557563,ACC9620,24329.57,POS,2025-10-27,正常,低,免复核
TX2873086,ACC4688,78220.03,网银,2025-10-22,大额,高,待复核
TX1461218,ACC9540,75729.4,POS,2025-11-22,大额,高,待复核
TX2926880,ACC5587,26822.94,代扣,2025-12-31,正常,低,免复核
TX3968755,ACC2704,60305.34,网银,2025-11-07,大额,高,待复核
TX8881352,ACC1189,56291.36,代扣,2025-12-20,异地,高,待复核
TX2404072,ACC2985,34340.67,代扣,2025-10-08,异地,中,待复核
TX2129327,ACC6505,53924.56,代扣,2025-10-10,高频,高,待复核
TX1653305,ACC6855,32106.15,代扣,2025-12-11,异地,高,待复核
TX4145965,ACC7607,16987.42,代扣,2025-10-11,正常,低,免复核
TX8600483,ACC9287,22254.13,POS,2025-11-25,夜间,高,待复核
TX8569328,ACC4033,20877.36,代扣,2025-10-31,正常,低,免复核
TX4893881,ACC2139,43312.34,网银,2025-12-02,异地,中,待复核
TX7604909,ACC1000,51136.07,移动,2025-12-22,夜间,高,待复核
TX4678065,ACC2446,63961.21,移动,2025-11-29,夜间,高,待复核
TX5972252,ACC8898,15284.05,移动,2025-12-27,正常,低,免复核
TX4822880,ACC5090,64959.71,移动,2025-11-17,异地,高,待复核
TX1093203,ACC7128,73071.53,POS,2025-12-14,夜间,高,待复核
TX4836999,ACC5068,10136.49,代扣,2025-12-11,正常,低,免复核
TX4851922,ACC5914,64685.32,POS,2025-11-09,大额,中,待复核
TX6947953,ACC6356,65692.27,POS,2025-11-09,高频,高,待复核
TX4586597,ACC5357,37486.07,POS,2025-11-19,高频,高,待复核
TX2860337,ACC1252,24569.73,代扣,2025-12-02,正常,低,免复核
TX2539176,ACC6539,61075.67,移动,2025-10-23,高频,中,待复核
TX3035940,ACC4934,16367.67,代扣,2025-12-14,正常,低,免复核
TX5882274,ACC4512,74203.3,移动,2025-10-11,异地,高,待复核
TX4474418,ACC2321,76002.83,POS,2025-12-02,夜间,高,待复核
TX1558669,ACC9596,79129.65,代扣,2025-11-22,高频,高,待复核
TX5672371,ACC5654,3764.76,移动,2025-10-19,正常,低,免复核
TX8753735,ACC2225,54049.79,网银,2025-12-13,夜间,高,待复核
TX1275978,ACC7630,53183.2,网银,2025-12-01,异地,高,待复核
TX5384925,ACC6433,16776.3,POS,2025-10-06,正常,低,免复核
TX6337238,ACC6546,15232.03,移动,2025-10-17,正常,低,免复核
TX7127156,ACC8836,68465.56,网银,2025-10-13,夜间,高,待复核
TX3460786,ACC1095,3809.83,代扣,2025-12-31,正常,低,免复核
TX5426377,ACC9985,76098.74,移动,2025-10-17,大额,高,待复核
TX4285277,ACC4777,18451.54,代扣,2025-12-04,正常,低,免复核
TX4219910,ACC4278,32799.1,POS,2025-12-27,夜间,高,待复核
TX4977749,ACC8400,55216.48,POS,2025-11-03,夜间,高,待复核
TX1530258,ACC4474,6009.19,网银,2025-11-21,高频,中,待复核
TX4684840,ACC8488,55126.25,代扣,2025-12-31,大额,中,待复核
TX1494228,ACC3869,18926.83,POS,2025-11-18,正常,低,免复核
TX3376532,ACC1434,19122.46,网银,2025-10-24,正常,低,免复核
TX2046292,ACC8115,38797.39,代扣,2025-10-11,异地,高,待复核
TX8931653,ACC5061,2681.04,POS,2025-12-08,正常,低,免复核
TX5358230,ACC3269,52740.7,移动,2025-10-09,大额,中,待复核
TX2344257,ACC9491,10478.68,移动,2025-10-30,正常,低,免复核
TX7609512,ACC4626,8861.79,POS,2025-10-11,正常,低,免复核
TX7117589,ACC7700,57050.18,POS,2025-11-12,高频,中,待复核
TX6879256,ACC4091,72548.59,POS,2026-01-01,异地,高,待复核
TX4345782,ACC2300,67179.38,网银,2025-10-09,异地,中,待复核
TX4370650,ACC3450,40794.27,POS,2025-12-09,异地,中,待复核
TX4287295,ACC8058,3875.95,移动,2025-11-07,夜间,中,待复核
TX1574074,ACC9971,41710.91,网银,2025-12-17,异地,中,待复核
TX7991360,ACC4598,52338.64,代扣,2025-12-09,大额,高,待复核
TX7412361,ACC9290,8839,网银,2025-10-22,正常,低,免复核
TX6298127,ACC3406,60475.16,代扣,2025-11-12,异地,高,待复核
TX8004626,ACC2736,54232.04,网银,2025-11-04,高频,高,待复核
TX8864050,ACC7321,50354.25,代扣,2025-12-23,高频,中,待复核
TX8712472,ACC3220,10769.76,移动,2025-10-20,正常,低,免复核
TX4658983,ACC6405,14283.17,移动,2025-12-02,正常,低,免复核
TX4771370,ACC8429,280.93,POS,2025-11-29,正常,低,免复核
TX4633281,ACC3112,61753.81,代扣,2025-10-05,夜间,中,待复核
TX5093977,ACC1037,19925.11,POS,2025-10-10,夜间,中,待复核
TX6624809,ACC4668,27917.43,代扣,2025-10-09,正常,低,免复核
TX5199538,ACC1948,78362.12,POS,2025-12-26,高频,高,待复核
TX8076899,ACC1367,65985.1,代扣,2025-12-11,大额,高,待复核
TX7523197,ACC4810,47626.22,网银,2025-11-01,高频,中,待复核
TX2717553,ACC6888,73056.36,POS,2025-12-04,高频,高,待复核
TX7412892,ACC9825,34976.42,移动,2025-11-16,异地,高,待复核
TX6888762,ACC9482,6599.63,代扣,2025-12-01,正常,低,免复核
