No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,observed_at,missing_pollutant_count,data_nature
1021,2013,4,12,12,49.0,124.0,16.0,83.0,700.0,49.0,21.2,1004.5,-5.7,0.0,SSW,2.9,Gucheng,2013-04-12 12:00:00,0,public-derived
1041,2013,4,13,8,106.0,154.0,15.0,98.0,1100.0,5.0,17.4,994.6,2.2,0.0,S,0.5,Gucheng,2013-04-13 08:00:00,0,public-derived
1061,2013,4,14,4,7.0,9.0,4.0,6.0,200.0,76.0,9.4,1005.8,-13.8,0.0,NNE,1.6,Gucheng,2013-04-14 04:00:00,0,public-derived
1081,2013,4,15,0,131.0,190.0,25.0,83.0,1500.0,25.0,10.3,997.9,-1.8,0.0,SSW,0.5,Gucheng,2013-04-15 00:00:00,0,public-derived
1101,2013,4,15,20,69.0,177.0,30.0,50.0,700.0,77.0,11.8,995.6,3.3,0.0,SE,3.1,Gucheng,2013-04-15 20:00:00,0,public-derived
1121,2013,4,16,16,22.0,49.0,7.0,14.0,400.0,107.0,21.9,997.9,-3.5,0.0,S,1.4,Gucheng,2013-04-16 16:00:00,0,public-derived
1141,2013,4,17,12,35.0,48.0,13.0,23.0,500.0,100.0,15.4,1001.2,-3.0,0.0,SSE,3.1,Gucheng,2013-04-17 12:00:00,0,public-derived
1161,2013,4,18,8,3.0,7.0,3.0,12.0,300.0,84.0,10.0,1018.2,-16.3,0.0,NNW,2.4,Gucheng,2013-04-18 08:00:00,0,public-derived
1181,2013,4,19,4,41.0,123.0,32.0,57.0,1100.0,32.0,7.3,1017.1,-7.9,0.0,S,1.0,Gucheng,2013-04-19 04:00:00,0,public-derived
1201,2013,4,20,0,36.0,61.0,4.0,46.0,600.0,28.0,3.4,1015.6,1.3,0.0,WSW,1.0,Gucheng,2013-04-20 00:00:00,0,public-derived
1221,2013,4,20,20,64.0,110.0,12.0,44.0,700.0,89.0,10.8,1012.0,0.2,0.0,SW,1.4,Gucheng,2013-04-20 20:00:00,0,public-derived
1241,2013,4,21,16,119.0,147.0,36.0,42.0,1100.0,113.0,17.4,1006.2,3.3,0.0,SSW,2.0,Gucheng,2013-04-21 16:00:00,0,public-derived
1261,2013,4,22,12,161.0,195.0,44.0,53.0,1000.0,60.0,13.7,1007.0,6.3,0.0,SSW,2.4,Gucheng,2013-04-22 12:00:00,0,public-derived
1281,2013,4,23,8,148.0,163.0,19.0,60.0,1200.0,8.0,10.2,1003.9,6.9,0.0,SE,1.5,Gucheng,2013-04-23 08:00:00,0,public-derived
1301,2013,4,24,4,160.0,186.0,8.0,86.0,1800.0,2.0,6.4,1004.8,5.3,0.0,N,0.1,Gucheng,2013-04-24 04:00:00,0,public-derived
1321,2013,4,25,0,10.0,10.0,8.0,21.0,400.0,69.0,14.5,1005.5,-5.9,0.0,W,2.1,Gucheng,2013-04-25 00:00:00,0,public-derived
1341,2013,4,25,20,29.0,40.0,3.0,24.0,400.0,82.0,14.4,1005.5,-6.5,0.0,ESE,0.5,Gucheng,2013-04-25 20:00:00,0,public-derived
1361,2013,4,26,16,,69.0,37.0,24.0,600.0,159.0,23.6,998.1,1.8,0.0,ESE,2.4,Gucheng,2013-04-26 16:00:00,1,public-derived
1381,2013,4,27,12,50.0,83.0,35.0,46.0,1000.0,101.0,22.6,1003.1,1.0,0.0,E,0.9,Gucheng,2013-04-27 12:00:00,0,public-derived
1401,2013,4,28,8,85.0,154.0,57.0,90.0,2299.0,45.0,15.5,1003.0,4.5,0.0,SE,1.6,Gucheng,2013-04-28 08:00:00,0,public-derived
1421,2013,4,29,4,8.0,26.0,3.0,8.0,200.0,107.0,18.1,1005.7,-9.9,0.0,W,3.4,Gucheng,2013-04-29 04:00:00,0,public-derived
1441,2013,4,30,0,121.0,285.0,24.0,134.0,1700.0,4.0,20.8,1005.8,-7.7,0.0,NNE,2.5,Gucheng,2013-04-30 00:00:00,0,public-derived
1461,2013,4,30,20,57.0,149.0,12.0,81.0,900.0,80.0,21.5,1006.1,-8.1,0.0,NE,0.7,Gucheng,2013-04-30 20:00:00,0,public-derived
1481,2013,5,1,16,45.0,122.0,13.0,20.0,600.0,161.0,22.5,1003.7,0.9,0.0,WSW,2.3,Gucheng,2013-05-01 16:00:00,0,public-derived
1501,2013,5,2,12,76.0,99.0,34.0,65.0,,,23.5,1003.6,1.2,0.0,ENE,1.6,Gucheng,2013-05-02 12:00:00,2,public-derived
1521,2013,5,3,8,42.0,44.0,16.0,23.0,500.0,118.0,17.4,1010.8,5.7,0.0,ENE,0.5,Gucheng,2013-05-03 08:00:00,0,public-derived
1541,2013,5,4,4,118.0,164.0,21.0,55.0,600.0,54.0,13.5,1009.2,7.7,0.0,W,1.3,Gucheng,2013-05-04 04:00:00,0,public-derived
1561,2013,5,5,0,113.0,221.0,24.0,144.0,1100.0,8.0,15.1,1008.6,9.2,0.0,N,0.1,Gucheng,2013-05-05 00:00:00,0,public-derived
1581,2013,5,5,20,263.0,352.0,60.0,52.0,2299.0,166.0,22.0,1007.3,14.9,0.0,SW,0.1,Gucheng,2013-05-05 20:00:00,0,public-derived
1601,2013,5,6,16,,125.0,20.0,21.0,900.0,226.0,30.3,1004.2,6.9,0.0,SSW,1.8,Gucheng,2013-05-06 16:00:00,1,public-derived
1621,2013,5,7,12,197.0,325.0,35.0,109.0,1700.0,101.0,28.8,1007.6,11.4,0.0,S,1.2,Gucheng,2013-05-07 12:00:00,0,public-derived
1641,2013,5,8,8,151.0,185.0,32.0,88.0,1399.0,35.0,21.3,1007.4,10.7,0.0,NE,0.7,Gucheng,2013-05-08 08:00:00,0,public-derived
1661,2013,5,9,4,57.0,115.0,16.0,75.0,700.0,18.0,17.4,1003.2,11.0,0.0,SE,1.1,Gucheng,2013-05-09 04:00:00,0,public-derived
1681,2013,5,10,0,90.0,121.0,5.0,96.0,1000.0,5.0,12.0,998.8,9.7,0.0,WNW,0.7,Gucheng,2013-05-10 00:00:00,0,public-derived
1701,2013,5,10,20,40.0,227.0,19.0,46.0,500.0,110.0,24.4,992.0,3.6,0.0,W,1.8,Gucheng,2013-05-10 20:00:00,0,public-derived
1721,2013,5,11,16,14.0,115.0,3.0,11.0,200.0,115.0,32.5,985.8,-4.5,0.0,WNW,2.9,Gucheng,2013-05-11 16:00:00,0,public-derived
1741,2013,5,12,12,9.0,32.0,4.0,24.0,400.0,94.0,28.3,992.2,-6.3,0.0,ESE,1.0,Gucheng,2013-05-12 12:00:00,0,public-derived
1761,2013,5,13,8,91.0,175.0,90.0,83.0,2200.0,48.0,21.6,996.5,1.8,0.0,ENE,1.0,Gucheng,2013-05-13 08:00:00,0,public-derived
1781,2013,5,14,4,66.0,116.0,13.0,53.0,700.0,45.0,18.8,998.4,-0.6,0.0,NW,0.8,Gucheng,2013-05-14 04:00:00,0,public-derived
1801,2013,5,15,0,50.0,124.0,14.0,78.0,600.0,64.0,19.4,1005.5,6.5,0.0,E,0.0,Gucheng,2013-05-15 00:00:00,0,public-derived
1821,2013,5,15,20,67.0,174.0,18.0,43.0,700.0,173.0,22.7,1008.4,7.3,0.0,SSE,1.3,Gucheng,2013-05-15 20:00:00,0,public-derived
1841,2013,5,16,16,47.0,102.0,21.0,21.0,800.0,181.0,25.7,1006.0,8.2,0.0,SSW,1.5,Gucheng,2013-05-16 16:00:00,0,public-derived
1861,2013,5,17,12,125.0,153.0,38.0,55.0,,98.532,22.6,1003.9,12.5,0.0,SSW,1.5,Gucheng,2013-05-17 12:00:00,1,public-derived
1881,2013,5,18,8,196.0,297.0,18.0,80.0,,19.7064,20.2,1000.4,15.6,0.0,S,0.9,Gucheng,2013-05-18 08:00:00,1,public-derived
1901,2013,5,19,4,63.0,61.0,7.0,38.0,,54.1926,17.3,993.3,13.4,0.0,WSW,0.4,Gucheng,2013-05-19 04:00:00,1,public-derived
1921,2013,5,20,0,15.0,41.0,3.0,16.0,,69.8292,18.1,996.4,-4.0,0.0,SW,1.0,Gucheng,2013-05-20 00:00:00,1,public-derived
1941,2013,5,20,20,54.0,223.0,21.0,42.0,,117.5958,23.4,989.8,5.3,0.0,SW,1.6,Gucheng,2013-05-20 20:00:00,1,public-derived
1961,2013,5,21,16,106.0,285.0,39.0,70.0,,188.2818,27.3,992.0,11.3,0.0,E,1.3,Gucheng,2013-05-21 16:00:00,1,public-derived
1981,2013,5,22,12,89.0,178.0,72.0,84.0,,123.5934,27.9,1003.5,10.1,0.0,SSE,2.2,Gucheng,2013-05-22 12:00:00,1,public-derived
2001,2013,5,23,8,33.0,90.0,15.0,82.0,,22.9194,22.7,1004.6,6.9,0.0,E,0.6,Gucheng,2013-05-23 08:00:00,1,public-derived
2021,2013,5,24,4,98.0,200.0,17.0,55.0,1200.0,37.0,18.8,1002.5,13.9,0.0,N,0.2,Gucheng,2013-05-24 04:00:00,0,public-derived
2041,2013,5,25,0,44.0,58.0,8.0,83.0,500.0,25.0,21.4,1005.6,11.7,0.0,N,0.0,Gucheng,2013-05-25 00:00:00,0,public-derived
2061,2013,5,25,20,118.0,179.0,40.0,80.0,1500.0,191.0,25.8,1001.4,15.8,0.0,ESE,1.6,Gucheng,2013-05-25 20:00:00,0,public-derived
2081,2013,5,26,16,146.0,154.0,30.0,98.0,2299.0,57.0,21.6,1000.3,16.5,0.0,SE,1.2,Gucheng,2013-05-26 16:00:00,0,public-derived
2101,2013,5,27,12,96.0,38.0,5.0,67.0,800.0,44.0,19.3,999.6,15.2,0.0,N,0.5,Gucheng,2013-05-27 12:00:00,0,public-derived
2121,2013,5,28,8,54.0,55.0,3.0,52.0,1200.0,2.0,18.2,999.0,17.0,0.3,SSE,0.6,Gucheng,2013-05-28 08:00:00,0,public-derived
2141,2013,5,29,4,11.0,35.0,4.0,16.0,300.0,53.0,20.1,1002.7,3.3,0.0,W,2.1,Gucheng,2013-05-29 04:00:00,0,public-derived
2161,2013,5,30,0,47.0,108.0,7.0,103.0,1000.0,3.0,17.5,1000.8,7.0,0.0,NE,0.1,Gucheng,2013-05-30 00:00:00,0,public-derived
2181,2013,5,30,20,81.0,254.0,20.0,47.0,1300.0,174.0,27.8,996.2,10.0,0.0,WSW,2.4,Gucheng,2013-05-30 20:00:00,0,public-derived
2201,2013,5,31,16,124.0,195.0,53.0,37.0,1500.0,199.0,28.5,992.5,16.1,0.0,S,1.3,Gucheng,2013-05-31 16:00:00,0,public-derived
2221,2013,6,1,12,12.0,12.0,3.0,15.0,300.0,104.0,29.8,998.7,1.3,0.0,NE,0.8,Gucheng,2013-06-01 12:00:00,0,public-derived
2241,2013,6,2,8,139.0,262.0,21.0,97.0,1600.0,20.0,21.3,998.9,14.7,0.0,ENE,0.7,Gucheng,2013-06-02 08:00:00,0,public-derived
2261,2013,6,3,4,224.0,156.0,10.0,56.0,1899.0,30.0,18.6,996.1,16.7,0.0,NE,0.0,Gucheng,2013-06-03 04:00:00,0,public-derived
2281,2013,6,4,0,180.0,303.0,13.0,192.0,2200.0,4.0,21.8,1000.0,14.7,0.0,NNE,0.0,Gucheng,2013-06-04 00:00:00,0,public-derived
2301,2013,6,4,20,124.0,139.0,13.0,74.0,2000.0,49.0,20.2,1005.0,16.4,0.0,NE,0.6,Gucheng,2013-06-04 20:00:00,0,public-derived
2321,2013,6,5,16,200.0,179.0,3.0,77.0,2299.0,10.0,19.0,1003.7,17.8,0.1,E,1.2,Gucheng,2013-06-05 16:00:00,0,public-derived
2341,2013,6,6,12,110.0,119.0,3.0,72.0,2799.0,2.0,19.6,1002.7,18.4,0.1,ENE,0.4,Gucheng,2013-06-06 12:00:00,0,public-derived
2361,2013,6,7,8,172.0,136.0,7.0,66.0,2299.0,2.0,19.6,1001.1,18.8,9.3,N,0.5,Gucheng,2013-06-07 08:00:00,0,public-derived
2381,2013,6,8,4,,67.0,3.0,38.0,1600.0,16.0,19.4,1000.0,18.7,0.0,ESE,0.8,Gucheng,2013-06-08 04:00:00,1,public-derived
2401,2013,6,9,0,,165.0,3.0,67.0,3600.0,2.0,20.6,999.7,19.9,0.0,SE,0.1,Gucheng,2013-06-09 00:00:00,1,public-derived
2421,2013,6,9,20,10.0,19.0,3.0,70.0,800.0,14.0,16.5,1005.3,15.4,0.0,W,1.0,Gucheng,2013-06-09 20:00:00,0,public-derived
2441,2013,6,10,16,56.0,56.0,3.0,27.0,400.0,96.0,24.3,1003.3,14.7,0.0,SW,1.5,Gucheng,2013-06-10 16:00:00,0,public-derived
2461,2013,6,11,12,3.0,3.0,5.0,46.0,600.0,131.0,25.7,999.5,16.0,0.0,SE,2.0,Gucheng,2013-06-11 12:00:00,0,public-derived
2481,2013,6,12,8,28.0,65.0,9.0,65.0,1300.0,40.0,22.1,1001.2,13.2,0.0,SSW,1.1,Gucheng,2013-06-12 08:00:00,0,public-derived
2501,2013,6,13,4,71.0,93.0,13.0,52.0,600.0,60.0,18.4,1000.9,14.9,0.0,NNE,0.7,Gucheng,2013-06-13 04:00:00,0,public-derived
2521,2013,6,14,0,50.0,146.0,19.0,82.0,1000.0,92.0,22.6,999.9,11.9,0.0,S,1.2,Gucheng,2013-06-14 00:00:00,0,public-derived
2541,2013,6,14,20,104.0,151.0,13.0,83.0,1100.0,172.0,25.3,999.4,15.0,0.0,SSE,0.8,Gucheng,2013-06-14 20:00:00,0,public-derived
2561,2013,6,15,16,121.0,203.0,40.0,58.0,1300.0,273.0,31.1,997.2,15.5,0.0,SW,1.7,Gucheng,2013-06-15 16:00:00,0,public-derived
2581,2013,6,16,12,116.0,214.0,14.0,102.0,2000.0,42.0,21.7,995.6,19.1,0.2,ESE,0.6,Gucheng,2013-06-16 12:00:00,0,public-derived
2601,2013,6,17,8,17.0,120.0,6.0,59.0,1500.0,35.0,24.6,995.4,18.5,0.0,E,1.3,Gucheng,2013-06-17 08:00:00,0,public-derived
2621,2013,6,18,4,23.0,32.0,7.0,58.0,500.0,40.0,22.2,990.9,15.5,0.0,N,0.0,Gucheng,2013-06-18 04:00:00,0,public-derived
2641,2013,6,19,0,54.0,95.0,3.0,50.0,700.0,120.0,25.0,994.0,18.7,0.0,E,0.9,Gucheng,2013-06-19 00:00:00,0,public-derived
2661,2013,6,19,20,54.0,138.0,8.0,63.0,700.0,191.0,28.7,995.4,16.3,0.0,WNW,0.1,Gucheng,2013-06-19 20:00:00,0,public-derived
2681,2013,6,20,16,37.0,53.0,10.0,54.0,500.0,98.0,27.7,1000.4,18.1,0.0,W,1.0,Gucheng,2013-06-20 16:00:00,0,public-derived
2701,2013,6,21,12,30.0,47.0,14.0,38.0,700.0,80.0,30.5,1001.8,16.5,0.0,SSE,1.8,Gucheng,2013-06-21 12:00:00,0,public-derived
2721,2013,6,22,8,80.0,84.0,3.0,68.0,900.0,8.0,20.8,1002.2,19.3,1.3,NE,0.6,Gucheng,2013-06-22 08:00:00,0,public-derived
2741,2013,6,23,4,16.0,36.0,3.0,39.0,600.0,29.0,20.3,998.0,18.4,0.0,N,0.0,Gucheng,2013-06-23 04:00:00,0,public-derived
2761,2013,6,24,0,54.0,107.0,3.0,43.0,700.0,95.0,23.5,995.7,17.9,0.0,W,0.7,Gucheng,2013-06-24 00:00:00,0,public-derived
2781,2013,6,24,20,88.0,174.0,3.0,39.0,900.0,122.0,21.0,992.8,19.6,0.5,W,1.6,Gucheng,2013-06-24 20:00:00,0,public-derived
2801,2013,6,25,16,196.0,221.0,6.0,72.0,2700.0,57.0,23.4,991.5,20.1,0.0,NNW,1.2,Gucheng,2013-06-25 16:00:00,0,public-derived
2821,2013,6,26,12,183.0,168.0,3.0,49.0,1899.0,135.0,29.8,989.4,21.5,0.0,SE,1.3,Gucheng,2013-06-26 12:00:00,0,public-derived
2841,2013,6,27,8,91.0,122.0,3.0,57.0,1000.0,48.0,27.3,991.4,20.1,0.0,NNE,1.0,Gucheng,2013-06-27 08:00:00,0,public-derived
2861,2013,6,28,4,101.0,136.0,6.0,66.0,900.0,41.0,25.2,993.5,21.9,0.0,ENE,0.1,Gucheng,2013-06-28 04:00:00,0,public-derived
2881,2013,6,29,0,21.0,21.0,3.0,23.0,500.0,114.0,21.0,994.0,19.8,0.8,NE,0.6,Gucheng,2013-06-29 00:00:00,0,public-derived
2901,2013,6,29,20,180.0,193.0,3.0,84.0,2700.0,34.0,23.6,997.7,21.5,0.0,NNE,0.1,Gucheng,2013-06-29 20:00:00,0,public-derived
2921,2013,6,30,16,216.0,179.0,3.0,39.0,1500.0,118.0,28.5,995.3,23.6,0.0,WSW,0.1,Gucheng,2013-06-30 16:00:00,0,public-derived
2941,2013,7,1,12,194.0,177.0,3.0,85.0,2100.0,3.0,25.2,992.0,23.1,0.0,ESE,0.5,Gucheng,2013-07-01 12:00:00,0,public-derived
2961,2013,7,2,8,13.0,13.0,3.0,38.0,300.0,79.0,29.7,989.0,16.1,0.0,SSW,1.1,Gucheng,2013-07-02 08:00:00,0,public-derived
2981,2013,7,3,4,32.0,113.0,3.0,84.0,600.0,5.0,23.1,988.6,19.1,0.0,N,0.2,Gucheng,2013-07-03 04:00:00,0,public-derived
3001,2013,7,4,0,12.0,40.0,5.0,27.0,500.0,66.0,26.3,987.3,17.6,0.0,W,0.0,Gucheng,2013-07-04 00:00:00,0,public-derived
3021,2013,7,4,20,15.0,37.0,3.0,38.0,600.0,92.0,25.7,988.4,16.8,0.0,NNW,0.0,Gucheng,2013-07-04 20:00:00,0,public-derived
3041,2013,7,5,16,13.0,23.0,4.0,16.0,400.0,134.0,35.1,990.1,16.9,0.0,SW,1.7,Gucheng,2013-07-05 16:00:00,0,public-derived
3061,2013,7,6,12,38.0,56.0,13.0,28.0,700.0,183.0,34.4,992.9,19.6,0.0,S,2.1,Gucheng,2013-07-06 12:00:00,0,public-derived
3081,2013,7,7,8,50.0,62.0,3.0,50.0,700.0,51.0,26.2,994.6,20.8,0.0,N,0.7,Gucheng,2013-07-07 08:00:00,0,public-derived
3101,2013,7,8,4,375.0,66.0,3.0,23.0,700.0,94.0,23.7,994.0,22.9,0.0,SSE,0.8,Gucheng,2013-07-08 04:00:00,0,public-derived
3121,2013,7,9,0,,56.0,,56.0469,,34.272,24.7,995.2,23.8,0.0,W,0.1,Gucheng,2013-07-09 00:00:00,3,public-derived
3141,2013,7,9,20,26.0,22.0,,68.3649,,31.9158,22.7,996.4,22.0,0.0,N,0.6,Gucheng,2013-07-09 20:00:00,2,public-derived
3161,2013,7,10,16,15.0,15.0,,32.2321,,69.8292,22.8,998.2,21.4,0.3,SW,0.6,Gucheng,2013-07-10 16:00:00,2,public-derived
3181,2013,7,11,12,27.0,90.0,3.0,49.0,800.0,33.0,26.0,999.0,22.1,0.0,WSW,0.9,Gucheng,2013-07-11 12:00:00,0,public-derived
3201,2013,7,12,8,65.0,78.0,3.0,61.0,,25.4898,27.0,999.2,21.5,0.0,WNW,0.8,Gucheng,2013-07-12 08:00:00,1,public-derived
3221,2013,7,13,4,139.0,117.0,3.0,51.0,1100.0,24.0,24.8,998.8,22.9,0.0,S,0.6,Gucheng,2013-07-13 04:00:00,0,public-derived
3241,2013,7,14,0,179.0,204.0,3.0,31.0,2000.0,118.0,26.2,1000.0,22.7,0.0,WSW,1.0,Gucheng,2013-07-14 00:00:00,0,public-derived
3261,2013,7,14,20,95.0,111.0,3.0,38.0,1100.0,90.0,24.8,999.2,22.5,0.4,S,1.3,Gucheng,2013-07-14 20:00:00,0,public-derived
3281,2013,7,15,16,41.0,30.0,3.0,35.0,1200.0,38.0,24.7,989.5,24.0,1.6,WSW,0.7,Gucheng,2013-07-15 16:00:00,0,public-derived
3301,2013,7,16,12,9.0,9.0,5.0,11.0,300.0,95.0,31.7,993.1,12.0,0.0,NNW,2.9,Gucheng,2013-07-16 12:00:00,0,public-derived
3321,2013,7,17,8,21.0,75.0,5.0,55.0,700.0,16.0,25.7,998.9,18.1,0.0,ENE,0.8,Gucheng,2013-07-17 08:00:00,0,public-derived
3341,2013,7,18,4,133.0,143.0,6.0,45.0,1800.0,54.0,25.1,997.4,22.0,0.0,ESE,0.8,Gucheng,2013-07-18 04:00:00,0,public-derived
3361,2013,7,19,0,92.0,90.0,8.0,52.0,1000.0,52.0,23.8,995.8,20.3,0.0,SSE,0.7,Gucheng,2013-07-19 00:00:00,0,public-derived
3381,2013,7,19,20,122.0,135.0,3.0,45.0,1100.0,103.0,26.8,995.1,22.4,0.0,SW,1.1,Gucheng,2013-07-19 20:00:00,0,public-derived
3401,2013,7,20,16,37.0,112.0,3.0,26.0,600.0,231.0,31.0,995.2,19.7,0.0,WSW,1.7,Gucheng,2013-07-20 16:00:00,0,public-derived
3421,2013,7,21,12,90.0,120.0,3.0,68.0,1100.0,87.0,30.0,997.3,22.2,0.0,WNW,1.3,Gucheng,2013-07-21 12:00:00,0,public-derived
3441,2013,7,22,8,82.0,104.0,3.0,77.0,,6.6402,27.4,997.5,21.7,0.0,SE,1.0,Gucheng,2013-07-22 08:00:00,1,public-derived
3461,2013,7,23,4,54.0,54.0,4.0,52.0,400.0,56.0,23.7,994.2,17.2,0.0,S,0.9,Gucheng,2013-07-23 04:00:00,0,public-derived
3481,2013,7,24,0,58.0,108.0,3.0,76.0,800.0,23.0,23.7,991.3,21.6,0.0,SSE,0.4,Gucheng,2013-07-24 00:00:00,0,public-derived
3501,2013,7,24,20,28.0,118.0,3.0,54.0,500.0,61.0,28.8,992.6,17.3,0.0,WNW,0.1,Gucheng,2013-07-24 20:00:00,0,public-derived
3521,2013,7,25,16,23.0,45.0,3.0,21.0,400.0,170.0,35.8,992.5,18.0,0.0,SW,1.2,Gucheng,2013-07-25 16:00:00,0,public-derived
3541,2013,7,26,12,14.0,111.0,6.0,82.0,2400.0,6.0,23.6,996.8,22.0,0.2,NE,0.6,Gucheng,2013-07-26 12:00:00,0,public-derived
3561,2013,7,27,8,84.0,80.0,3.0,52.0,1600.0,14.0,24.0,993.7,22.6,0.0,SE,0.4,Gucheng,2013-07-27 08:00:00,0,public-derived
3581,2013,7,28,4,139.0,108.0,3.0,69.0,1800.0,2.0,22.4,992.5,21.6,0.0,N,0.0,Gucheng,2013-07-28 04:00:00,0,public-derived
3601,2013,7,29,0,40.0,149.0,3.0,87.0,1000.0,2.0,27.8,992.6,22.5,0.0,N,0.0,Gucheng,2013-07-29 00:00:00,0,public-derived
3621,2013,7,29,20,58.0,124.0,3.0,78.0,900.0,86.0,28.3,992.3,22.8,0.0,WSW,1.0,Gucheng,2013-07-29 20:00:00,0,public-derived
3641,2013,7,30,16,50.0,106.0,3.0,27.0,800.0,211.0,33.8,987.8,22.9,0.0,W,1.5,Gucheng,2013-07-30 16:00:00,0,public-derived
3661,2013,7,31,12,50.0,76.0,3.0,62.0,800.0,123.0,32.2,991.3,21.1,0.0,WSW,0.6,Gucheng,2013-07-31 12:00:00,0,public-derived
3681,2013,8,1,8,24.0,3.0,3.0,23.0,600.0,98.0,24.3,996.9,21.0,0.0,NE,0.2,Gucheng,2013-08-01 08:00:00,0,public-derived
3701,2013,8,2,4,68.0,53.0,3.0,57.0,1000.0,2.0,21.1,997.5,20.4,0.0,E,0.4,Gucheng,2013-08-02 04:00:00,0,public-derived
3721,2013,8,3,0,24.0,24.0,3.0,27.0,400.0,104.0,26.2,999.3,15.9,0.0,WSW,0.9,Gucheng,2013-08-03 00:00:00,0,public-derived
3741,2013,8,3,20,35.0,119.0,3.0,38.0,800.0,137.0,27.3,995.4,21.8,0.0,WSW,0.7,Gucheng,2013-08-03 20:00:00,0,public-derived
3761,2013,8,4,16,77.0,110.0,3.0,27.0,800.0,257.0,32.6,988.6,23.3,0.0,SSE,1.3,Gucheng,2013-08-04 16:00:00,0,public-derived
3781,2013,8,5,12,30.0,57.0,4.0,43.0,600.0,145.0,31.0,990.7,19.7,0.0,ESE,1.1,Gucheng,2013-08-05 12:00:00,0,public-derived
3801,2013,8,6,8,131.0,139.0,,54.8151,,39.627,28.2,992.8,24.2,0.0,ENE,0.4,Gucheng,2013-08-06 08:00:00,2,public-derived
3821,2013,8,7,4,22.0,41.0,3.0,25.0,600.0,90.0,25.3,994.7,22.2,0.0,ESE,0.7,Gucheng,2013-08-07 04:00:00,0,public-derived
3841,2013,8,8,0,24.0,69.0,3.0,77.0,1000.0,2.0,22.8,993.4,20.3,0.0,W,0.6,Gucheng,2013-08-08 00:00:00,0,public-derived
3861,2013,8,8,20,39.0,86.0,3.0,43.0,1000.0,118.0,30.5,994.0,13.3,0.0,W,0.7,Gucheng,2013-08-08 20:00:00,0,public-derived
3881,2013,8,9,16,41.0,90.0,4.0,29.0,600.0,246.0,34.7,992.2,20.3,0.0,SSW,1.8,Gucheng,2013-08-09 16:00:00,0,public-derived
3901,2013,8,10,12,80.0,123.0,3.0,42.0,1000.0,229.0,34.6,996.8,23.3,0.0,SSE,1.7,Gucheng,2013-08-10 12:00:00,0,public-derived
3921,2013,8,11,8,132.0,151.0,3.0,53.0,1200.0,34.0,28.3,999.7,25.7,0.0,WSW,0.5,Gucheng,2013-08-11 08:00:00,0,public-derived
3941,2013,8,12,4,39.0,32.0,3.0,21.0,400.0,35.0,23.8,996.8,22.8,0.0,W,0.8,Gucheng,2013-08-12 04:00:00,0,public-derived
3961,2013,8,13,0,94.0,95.0,3.0,40.0,1100.0,59.0,,,,0.0,,,Gucheng,2013-08-13 00:00:00,0,public-derived
3981,2013,8,13,20,99.0,110.0,3.0,28.0,1000.0,120.0,28.8,997.8,24.8,0.0,ESE,0.6,Gucheng,2013-08-13 20:00:00,0,public-derived
4001,2013,8,14,16,68.0,140.0,3.0,22.0,900.0,164.0,31.6,995.4,26.2,0.0,SSE,1.0,Gucheng,2013-08-14 16:00:00,0,public-derived
4021,2013,8,15,12,126.0,170.0,3.0,61.0,1000.0,119.0,33.3,995.0,25.6,0.0,WSW,1.4,Gucheng,2013-08-15 12:00:00,0,public-derived
4041,2013,8,16,8,103.0,167.0,3.0,71.0,1300.0,10.0,28.0,990.1,25.6,0.0,NE,0.0,Gucheng,2013-08-16 08:00:00,0,public-derived
4061,2013,8,17,4,17.0,17.0,3.0,14.0,300.0,72.0,26.8,991.8,22.0,0.0,N,0.4,Gucheng,2013-08-17 04:00:00,0,public-derived
4081,2013,8,18,0,5.0,32.0,3.0,12.0,400.0,86.0,28.7,997.7,11.3,0.0,NNW,0.8,Gucheng,2013-08-18 00:00:00,0,public-derived
4101,2013,8,18,20,26.0,138.0,3.0,56.0,800.0,124.0,27.9,1001.5,18.6,0.0,NW,1.0,Gucheng,2013-08-18 20:00:00,0,public-derived
4121,2013,8,19,16,10.0,38.0,6.0,18.0,600.0,160.0,33.8,1000.7,11.6,0.0,E,0.9,Gucheng,2013-08-19 16:00:00,0,public-derived
4141,2013,8,20,12,115.0,131.0,12.0,70.0,1400.0,174.0,30.5,1001.2,19.8,0.0,SSW,1.4,Gucheng,2013-08-20 12:00:00,0,public-derived
4161,2013,8,21,8,82.0,100.0,1.0,37.0,1300.0,20.0,25.4,1001.9,22.7,0.0,ESE,0.4,Gucheng,2013-08-21 08:00:00,0,public-derived
4181,2013,8,22,4,94.0,110.0,2.0,66.0,1300.0,5.0,21.4,1000.9,20.6,0.0,N,0.0,Gucheng,2013-08-22 04:00:00,0,public-derived
4201,2013,8,23,0,62.0,79.0,3.0,63.0,1200.0,7.0,23.1,1002.0,21.2,0.0,N,0.0,Gucheng,2013-08-23 00:00:00,0,public-derived
4221,2013,8,23,20,38.0,126.0,3.0,66.0,1000.0,104.0,26.0,1001.8,17.1,0.0,SSW,0.4,Gucheng,2013-08-23 20:00:00,0,public-derived
4241,2013,8,24,16,9.0,19.0,1.0,12.0,400.0,118.0,33.1,999.9,14.2,0.0,NNE,0.5,Gucheng,2013-08-24 16:00:00,0,public-derived
